Time_sec,TDS_raw,Turbidity_raw,Flow_L_min
993,815,2398,0.40
994,811,2427,0.27
995,806,2427,0.40
996,817,2421,0.27
997,816,2429,0.40
998,816,2429,0.27
999,816,2419,0.40
1000,818,2422,0.27
1001,792,2399,0.27
1002,799,2256,0.40
1003,800,2246,0.27
1004,797,2233,0.40
1005,793,2226,0.40
1006,789,2253,0.27
1007,801,2215,0.40
1008,824,2266,0.40
1009,851,2240,0.40
1010,849,2260,0.27
1011,883,2226,0.27
1012,859,2238,0.27
1013,861,2514,0.00
1014,858,2527,0.00
1015,851,2539,0.00
1016,854,2545,0.00
1017,866,2531,0.00
1018,853,2509,0.00
1019,855,2503,0.00
1020,877,2544,0.00
1021,859,2515,0.13
1022,857,2529,0.00
1023,854,2512,0.13
1024,861,2513,0.00
1025,873,2503,0.13
1026,878,2276,0.27
1027,881,2272,0.13
1028,880,2249,0.13
1029,893,2229,0.27
1030,885,2229,0.27
1031,901,2217,0.13
1032,910,2555,0.40
1033,911,2461,0.53
1034,912,2607,0.40
1035,913,2640,0.27
1036,906,2688,0.13
1037,912,2717,4.27
1038,901,2723,0.93
1039,903,2731,0.13
1040,901,2751,0.13
1041,894,2754,0.00
1042,896,2775,0.00
1043,895,2768,0.00
1044,895,2779,0.00
1045,899,2788,0.00
1046,914,2624,0.00
1047,908,2629,0.00
1048,922,2613,0.00
1049,910,2595,0.00
1050,910,2612,0.00
1051,896,2595,0.00
1052,889,2314,0.00
1053,899,2256,0.40
1054,899,2225,0.00
1055,887,2111,1.20
1056,887,2099,0.00
1057,891,2098,0.00
1058,888,2099,0.00
1059,887,2085,0.00
1060,901,2095,0.00
1061,916,2095,0.00
1062,903,2330,0.00
1063,907,2025,0.00
1064,901,2209,0.00
1065,899,2144,0.00
1066,889,2191,0.00
1067,890,2192,0.00
